time,num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,GPSFix,NumberOfSatellites,ID,Interval(sec),Transfer(MBytes),Bandwidth(MBits/sec)
2026-01-29 13:43:34.803182,37.0000000000,-78.6962748000,35.7273025000,16.9950000000,0.0026820160,0.0045680706,0.0022745237,-0.0100000000,0.0000000000,-2.4500000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,36.9758280305,0.0626150859
2026-01-29 13:43:35.810862,38.0000000000,-78.6962748000,35.7273025000,19.4880000000,0.0028295666,0.0044090622,0.0034409140,0.0000000000,0.0000000000,-2.4000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,154.9242974842,0.2015748387
2026-01-29 13:43:36.814206,39.0000000000,-78.6962748000,35.7273025000,21.7090000000,0.0035258501,0.0044334624,0.0043588495,-0.0100000000,0.0000000000,-1.8800000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,254.8040434631,0.0906921468
2026-01-29 13:43:37.816370,40.0000000000,-78.6962749000,35.7273025000,23.3490000000,0.0031397217,0.0045180805,0.0042570988,-0.0100000000,0.0100000000,-1.3500000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,434.4048704565,0.0296548478
2026-01-29 13:43:38.818932,41.0000000000,-78.6962749000,35.7273025000,24.4520000000,0.0033757328,0.0044624489,0.0037176306,-0.0100000000,0.0100000000,-0.8200000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,477.2192648248,0.0210461349
2026-01-29 13:43:40.462998,42.0000000000,-78.6962749000,35.7273025000,25.0080000000,0.0035875798,0.0047844704,0.0037382201,-0.0100000000,0.0100000000,0.0400000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,61.1205826347,0.0307174542
2026-01-29 13:43:41.747256,43.0000000000,-78.6962749000,35.7273025000,24.9530000000,0.0034342210,0.0044227079,0.0034546496,-0.0100000000,0.0100000000,-0.0400000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,53.5765803434,0.0215695072
2026-01-29 13:43:42.748821,44.0000000000,-78.6962749000,35.7273025000,24.9580000000,0.0029912738,0.0046113441,0.0035638693,-0.0100000000,0.0100000000,-0.0400000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,299.1643288420,0.0869962453
2026-01-29 13:43:43.749917,45.0000000000,-78.6962752000,35.7273025000,24.9580000000,-0.0676240698,0.0113626542,-0.1792099029,0.1000000000,-0.2700000000,-0.0100000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,433.3142269627,0.0285903104
2026-01-29 13:43:44.755251,46.0000000000,-78.6962912000,35.7273076000,24.9510000000,-0.1169527918,0.0195694454,-0.3078929484,1.0400000000,-2.6300000000,-0.0200000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,346.9326555531,0.0252788636
2026-01-29 13:43:45.761679,47.0000000000,-78.6963307000,35.7273203000,24.9590000000,-0.0773648471,0.0128142219,-0.2286381572,1.7100000000,-4.2400000000,-0.0300000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,436.6109626970,0.0224908455
2026-01-29 13:43:46.768295,48.0000000000,-78.6963802000,35.7273365000,24.9610000000,-0.0581067204,0.0093411794,-0.2002494484,1.8300000000,-4.5600000000,-0.0200000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,468.5552042037,0.0188616296
2026-01-29 13:43:47.769765,49.0000000000,-78.6964319000,35.7273532000,24.9670000000,-0.0577817895,0.0063471724,-0.2021235079,1.8500000000,-4.6900000000,-0.0200000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,484.1992297096,0.0137390617
2026-01-29 13:43:48.771494,50.0000000000,-78.6964846000,35.7273701000,24.9780000000,-0.0550708771,0.0074316636,-0.1930185407,1.8500000000,-4.7400000000,-0.0100000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,494.0362817900,0.0173772732
2026-01-29 13:43:50.747584,51.0000000000,-78.6965895000,35.7274036000,24.9950000000,-0.0544508137,0.0074030384,-0.1867191494,1.8300000000,-4.6800000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,506.4229640035,0.0158119245
2026-01-29 13:43:51.753793,52.0000000000,-78.6966407000,35.7274199000,25.0020000000,-0.0239641722,0.0021677606,-0.1071799248,1.7500000000,-4.4700000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,548.7688378533,0.0119744091
2026-01-29 13:43:52.755098,53.0000000000,-78.6966848000,35.7274340000,25.0040000000,0.0135449246,0.0003928337,0.0017523657,1.3300000000,-3.4300000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,432.3436662929,0.0161372414
2026-01-29 13:43:53.761269,54.0000000000,-78.6967153000,35.7274437000,25.0060000000,0.0486280359,0.0021389183,0.1110590771,0.7600000000,-1.9900000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,389.4869121221,0.0139115042
2026-01-29 13:43:54.766867,55.0000000000,-78.6967283000,35.7274477000,25.0080000000,0.0394756570,0.0016655572,0.1029169410,0.1600000000,-0.4400000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,341.2976180183,0.0175587166
2026-01-29 13:43:55.773560,56.0000000000,-78.6967290000,35.7274479000,25.0030000000,0.0089405058,-0.0008007261,0.0246723033,-0.0400000000,0.1400000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,309.7819845653,0.0608347198
2026-01-29 13:43:56.774866,57.0000000000,-78.6967270000,35.7274474000,25.0000000000,-0.0447178297,0.0039186887,-0.1912580580,0.0200000000,-0.1500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,242.1139655802,0.1459474778
2026-01-29 13:43:57.776361,58.0000000000,-78.6967415000,35.7274499000,25.0040000000,-0.0732024536,0.0106530283,-0.3264488578,0.6100000000,-2.6300000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,505.1751241163,0.0280209515
