time,num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,GPSFix,NumberOfSatellites,size(byte),destination,icmp_seq,ttl,pingtime
2026-01-28 16:56:31.774765,29.0000000000,-78.6962747000,35.7273023000,0.0020000000,0.0016529342,-0.0073684966,0.0019097984,0.0000000000,0.0000000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,47.7721971753,,105.7606782574,47.7721971753,247.8182728468
2026-01-28 16:56:32.780803,30.0000000000,-78.6962747000,35.7273023000,0.0020000000,0.0019537283,-0.0068930564,0.0022205780,0.0000000000,0.0000000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,11.8952956698,,109.8141360052,11.8952956698,61.7068462871
2026-01-28 16:56:33.786545,31.0000000000,-78.6962747000,35.7273023000,0.0870000000,0.0022672098,-0.0063930787,0.0025287019,0.0000000000,0.0000000000,-0.3000000000,12.5870000000,6.0000000000,10.0000000000,64.0000000000,,115.6869965817,64.0000000000,388.1202555921
2026-01-28 16:56:34.789558,32.0000000000,-78.6962748000,35.7273024000,1.1640000000,0.0013918267,-0.0068369755,0.0016549174,0.0000000000,0.0000000000,-1.4500000000,12.5870000000,6.0000000000,10.0000000000,36.6639864889,,118.2914991556,36.6639864889,572.3019141004
2026-01-28 16:56:35.790530,33.0000000000,-78.6962749000,35.7273025000,3.1760000000,0.0031990241,0.0029724645,0.0035937664,0.0000000000,0.0000000000,-2.4200000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,122.5170035013,0.0000000000,0.0000000000
2026-01-28 16:56:37.743644,34.0000000000,-78.6962750000,35.7273025000,7.9920000000,0.0034693943,0.0029242625,0.0042468524,-0.0100000000,0.0200000000,-2.4100000000,12.5870000000,6.0000000000,10.0000000000,64.0000000000,,132.3560226417,64.0000000000,955.0837509410
2026-01-28 16:56:38.748851,35.0000000000,-78.6962750000,35.7273025000,10.4740000000,0.0032914984,0.0031761031,0.0035851269,-0.0100000000,0.0200000000,-2.4200000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,135.6270695327,0.0000000000,0.0000000000
2026-01-28 16:56:39.754647,36.0000000000,-78.6962750000,35.7273025000,13.2100000000,0.0033090918,0.0026683847,0.0027814899,-0.0100000000,0.0100000000,-2.4400000000,12.5870000000,6.0000000000,10.0000000000,31.4410928687,,142.0523975436,31.4410928687,442.1403684664
2026-01-28 16:56:40.761256,37.0000000000,-78.6962749000,35.7273025000,15.7070000000,0.0025673269,0.0027968388,0.0025673790,-0.0100000000,0.0100000000,-2.4500000000,12.5870000000,6.0000000000,10.0000000000,47.8547987392,,146.2341186121,47.8547987392,672.9581072703
2026-01-28 16:56:41.766555,38.0000000000,-78.6962749000,35.7273025000,18.2070000000,0.0038827783,0.0038989054,0.0025850993,-0.0100000000,0.0000000000,-2.4500000000,12.5870000000,6.0000000000,10.0000000000,0.0000000000,,149.9750889930,0.0000000000,0.0000000000
