time,size(byte),destination,icmp_seq,ttl,pingtime
2026-01-28 16:56:26.559988,64,172.16.0.1:,80,64,382.0
2026-01-28 16:56:26.883765,64,172.16.0.1:,81,64,504.0
2026-01-28 16:56:27.042026,64,172.16.0.1:,82,64,462.0
2026-01-28 16:56:27.337779,0,172.16.0.1:,83,0,0.0
2026-01-28 16:56:27.337779,64,172.16.0.1:,84,64,353.0
2026-01-28 16:56:27.485961,64,172.16.0.1:,85,64,301.0
2026-01-28 16:56:27.692772,64,172.16.0.1:,86,64,307.0
2026-01-28 16:56:28.514805,0,172.16.0.1:,87,0,0.0
2026-01-28 16:56:28.514805,0,172.16.0.1:,88,0,0.0
2026-01-28 16:56:28.514805,0,172.16.0.1:,89,0,0.0
2026-01-28 16:56:28.514805,64,172.16.0.1:,90,64,321.0
2026-01-28 16:56:29.048805,0,172.16.0.1:,91,0,0.0
2026-01-28 16:56:29.048805,64,172.16.0.1:,92,64,447.0
2026-01-28 16:56:29.163857,64,172.16.0.1:,93,64,359.0
2026-01-28 16:56:29.415827,64,172.16.0.1:,94,64,407.0
2026-01-28 16:56:29.908977,0,172.16.0.1:,95,0,0.0
2026-01-28 16:56:29.908977,64,172.16.0.1:,96,64,495.0
2026-01-28 16:56:30.920815,0,172.16.0.1:,97,0,0.0
2026-01-28 16:56:30.920815,0,172.16.0.1:,98,0,0.0
2026-01-28 16:56:30.920815,0,172.16.0.1:,99,0,0.0
2026-01-28 16:56:30.920815,0,172.16.0.1:,100,0,0.0
2026-01-28 16:56:30.920815,64,172.16.0.1:,101,64,490.0
2026-01-28 16:56:31.181110,0,172.16.0.1:,102,0,0.0
2026-01-28 16:56:31.181110,64,172.16.0.1:,103,64,344.0
2026-01-28 16:56:31.379011,64,172.16.0.1:,104,64,341.0
2026-01-28 16:56:31.569915,64,172.16.0.1:,105,64,332.0
2026-01-28 16:56:32.377813,0,172.16.0.1:,106,0,0.0
2026-01-28 16:56:32.377813,0,172.16.0.1:,107,0,0.0
2026-01-28 16:56:32.377813,0,172.16.0.1:,108,0,0.0
2026-01-28 16:56:32.377813,64,172.16.0.1:,109,64,332.0
2026-01-28 16:56:32.872804,0,172.16.0.1:,110,0,0.0
2026-01-28 16:56:32.872804,64,172.16.0.1:,111,64,423.0
2026-01-28 16:56:33.129972,64,172.16.0.1:,112,64,477.0
2026-01-28 16:56:33.291369,64,172.16.0.1:,113,64,433.0
2026-01-28 16:56:33.438690,64,172.16.0.1:,114,64,381.0
2026-01-28 16:56:33.598778,64,172.16.0.1:,115,64,339.0
2026-01-28 16:56:34.145409,0,172.16.0.1:,116,0,0.0
2026-01-28 16:56:34.145409,64,172.16.0.1:,117,64,482.0
2026-01-28 16:56:35.269824,0,172.16.0.1:,118,0,0.0
2026-01-28 16:56:35.269824,0,172.16.0.1:,119,0,0.0
2026-01-28 16:56:35.269824,64,172.16.0.1:,120,64,999.0
2026-01-28 16:56:35.651989,0,172.16.0.1:,121,0,0.0
2026-01-28 16:56:35.651989,0,172.16.0.1:,122,0,0.0
2026-01-28 16:56:35.651989,64,172.16.0.1:,123,64,767.0
2026-01-28 16:56:36.723866,0,172.16.0.1:,124,0,0.0
2026-01-28 16:56:36.723866,0,172.16.0.1:,125,0,0.0
2026-01-28 16:56:36.723866,0,172.16.0.1:,126,0,0.0
2026-01-28 16:56:36.723866,0,172.16.0.1:,127,0,0.0
2026-01-28 16:56:36.723866,64,172.16.0.1:,128,64,822.0
2026-01-28 16:56:37.675969,0,172.16.0.1:,129,0,0.0
2026-01-28 16:56:37.675969,0,172.16.0.1:,130,0,0.0
2026-01-28 16:56:37.675969,0,172.16.0.1:,131,0,0.0
2026-01-28 16:56:37.675969,64,172.16.0.1:,132,64,959.0
2026-01-28 16:56:37.866055,64,172.16.0.1:,133,64,948.0
2026-01-28 16:56:38.554068,0,172.16.0.1:,134,0,0.0
2026-01-28 16:56:38.554068,0,172.16.0.1:,135,0,0.0
2026-01-28 16:56:38.554068,0,172.16.0.1:,136,0,0.0
2026-01-28 16:56:38.554068,64,172.16.0.1:,137,64,824.0
2026-01-28 16:56:39.032924,0,172.16.0.1:,138,0,0.0
2026-01-28 16:56:39.032924,64,172.16.0.1:,139,64,900.0
2026-01-28 16:56:40.451592,0,172.16.0.1:,140,0,0.0
2026-01-28 16:56:40.451592,0,172.16.0.1:,141,0,0.0
2026-01-28 16:56:40.451592,0,172.16.0.1:,142,0,0.0
2026-01-28 16:56:40.451592,0,172.16.0.1:,143,0,0.0
2026-01-28 16:56:40.451592,0,172.16.0.1:,144,0,0.0
2026-01-28 16:56:40.451592,0,172.16.0.1:,145,0,0.0
2026-01-28 16:56:40.451592,64,172.16.0.1:,146,64,894.0
2026-01-28 16:56:40.865730,0,172.16.0.1:,147,0,0.0
2026-01-28 16:56:40.865730,64,172.16.0.1:,148,64,900.0
2026-01-28 16:56:43.590833,0,172.16.0.1:,149,0,0.0
2026-01-28 16:56:43.590833,0,172.16.0.1:,150,0,0.0
2026-01-28 16:56:43.590833,0,172.16.0.1:,151,0,0.0
2026-01-28 16:56:43.590833,0,172.16.0.1:,152,0,0.0
2026-01-28 16:56:43.590833,0,172.16.0.1:,153,0,0.0
2026-01-28 16:56:43.590833,0,172.16.0.1:,154,0,0.0
2026-01-28 16:56:43.590833,0,172.16.0.1:,155,0,0.0
2026-01-28 16:56:43.590833,0,172.16.0.1:,156,0,0.0
2026-01-28 16:56:43.590833,0,172.16.0.1:,157,0,0.0
2026-01-28 16:56:43.590833,0,172.16.0.1:,158,0,0.0
2026-01-28 16:56:43.590833,0,172.16.0.1:,159,0,0.0
2026-01-28 16:56:43.590833,0,172.16.0.1:,160,0,0.0
2026-01-28 16:56:43.590833,64,172.16.0.1:,161,64,974.0
2026-01-28 16:56:44.137732,0,172.16.0.1:,162,0,0.0
2026-01-28 16:56:44.137732,0,172.16.0.1:,163,0,0.0
2026-01-28 16:56:44.137732,64,172.16.0.1:,164,64,908.0
2026-01-28 16:56:44.362746,64,172.16.0.1:,165,64,925.0
2026-01-28 16:56:46.475715,0,172.16.0.1:,166,0,0.0
2026-01-28 16:56:46.475715,0,172.16.0.1:,167,0,0.0
2026-01-28 16:56:46.475715,0,172.16.0.1:,168,0,0.0
2026-01-28 16:56:46.475715,0,172.16.0.1:,169,0,0.0
2026-01-28 16:56:46.475715,0,172.16.0.1:,170,0,0.0
2026-01-28 16:56:46.475715,0,172.16.0.1:,171,0,0.0
2026-01-28 16:56:46.475715,0,172.16.0.1:,172,0,0.0
2026-01-28 16:56:46.475715,0,172.16.0.1:,173,0,0.0
2026-01-28 16:56:46.475715,0,172.16.0.1:,174,0,0.0
2026-01-28 16:56:46.475715,0,172.16.0.1:,175,0,0.0
2026-01-28 16:56:46.475715,64,172.16.0.1:,176,64,790.0
2026-01-28 16:56:46.991622,0,172.16.0.1:,177,0,0.0
2026-01-28 16:56:46.991622,64,172.16.0.1:,178,64,894.0
2026-01-28 16:56:47.655604,0,172.16.0.1:,179,0,0.0
2026-01-28 16:56:47.655604,0,172.16.0.1:,180,0,0.0
2026-01-28 16:56:47.655604,64,172.16.0.1:,181,64,950.0
2026-01-28 16:56:48.037106,0,172.16.0.1:,182,0,0.0
2026-01-28 16:56:48.037106,64,172.16.0.1:,183,64,922.0
2026-01-28 16:56:50.390212,0,172.16.0.1:,184,0,0.0
2026-01-28 16:56:50.390212,0,172.16.0.1:,185,0,0.0
2026-01-28 16:56:50.390212,0,172.16.0.1:,186,0,0.0
2026-01-28 16:56:50.390212,0,172.16.0.1:,187,0,0.0
2026-01-28 16:56:50.390212,0,172.16.0.1:,188,0,0.0
2026-01-28 16:56:50.390212,0,172.16.0.1:,189,0,0.0
2026-01-28 16:56:50.390212,0,172.16.0.1:,190,0,0.0
2026-01-28 16:56:50.390212,0,172.16.0.1:,191,0,0.0
2026-01-28 16:56:50.390212,0,172.16.0.1:,192,0,0.0
2026-01-28 16:56:50.390212,0,172.16.0.1:,193,0,0.0
2026-01-28 16:56:50.390212,0,172.16.0.1:,194,0,0.0
2026-01-28 16:56:50.390212,0,172.16.0.1:,195,0,0.0
2026-01-28 16:56:50.390212,64,172.16.0.1:,196,64,613.0
2026-01-28 16:56:51.580232,0,172.16.0.1:,197,0,0.0
2026-01-28 16:56:51.580232,0,172.16.0.1:,198,0,0.0
2026-01-28 16:56:51.580232,0,172.16.0.1:,199,0,0.0
2026-01-28 16:56:51.580232,64,172.16.0.1:,200,64,987.0
2026-01-28 16:56:52.139386,0,172.16.0.1:,201,0,0.0
2026-01-28 16:56:52.139386,0,172.16.0.1:,202,0,0.0
2026-01-28 16:56:52.139386,64,172.16.0.1:,203,64,929.0
2026-01-28 16:56:52.271209,64,172.16.0.1:,204,64,858.0
2026-01-28 16:56:52.590212,0,172.16.0.1:,205,0,0.0
2026-01-28 16:56:52.590212,64,172.16.0.1:,206,64,773.0
2026-01-28 16:56:54.858677,0,172.16.0.1:,207,0,0.0
2026-01-28 16:56:54.858677,0,172.16.0.1:,208,0,0.0
2026-01-28 16:56:54.858677,0,172.16.0.1:,209,0,0.0
2026-01-28 16:56:54.858677,0,172.16.0.1:,210,0,0.0
